# package_name	weekly_downloads
flexibility	63209
bootswatch	62503
accept	62051
selectize	61782
leaflet-routing-machine	61609
anchor	59840
jets	59839
pretty-checkbox	59670
bundle	59158
tablesorter	58884
nginx	58486
bootbox	58130
linq	58087
build	57590
ckeditor	57434
lint	57211
bs-custom-file-input	56936
d3-graphviz	56918
locale	56782
awesomplete	56541
vconsole	55959
snazzy	55900
validate	55827
datatables	53725
jszip-utils	53614
pixi-viewport	52924
hamburgers	52736
peerjs	52541
rc4	52408
vue-grid-layout	52174
confetti-js	52136
simple-line-icons	51325
notyf	51260
icheck	50528
latest	50332
bs-stepper	49710
pixi.js-legacy	49248
glightbox	49197
line-awesome	49159
buefy	48580
tailwind	48073
pangu	48030
picturefill	47830
jquery-slimscroll	47475
timepicker	47299
vimeo	47161
metismenu	46299
esri-leaflet	45857
flexboxgrid	45615
waypoints	45604
firebaseui	45552
scss	44981
testing	44969
simplemde	44664
smooth-scroll	44259
scrollmagic	43871
step	43306
socicon	42207
muuri	42156
proj4leaflet	42125
fusioncharts	42102
cash-dom	41916
lodash-compat	41869
stickybits	41747
lozad	41735
videojs-ima	41306
xfs	41048
leaflet-responsive-popup	40936
elasticlunr	40813
medium	40178
crossfilter	40040
pace-js	40014
timeago	39755
device	39537
moralis	39327
echarts-gl	39154
fullscreen-api-polyfill	39062
medium-editor	38856
simple-parallax-js	38843
leaflet-gesture-handling	38671
angular-filter	38055
topojson-simplify	38020
jquery-sparkline	37946
asciidoctor	37690
utils	37402
init	37315
uikit	37149
wanakana	37034
bootstrap-notify	36961
material-components-web	36783
smooth-scrollbar	36762
bootstrap-multiselect	36132
ekko-lightbox	36085
usa-states	36032
aframe	35375
videojs-youtube	35190
update	34723
fitty	34448
img-comparison-slider	34368
current-device	34316
elm	34264
emailjs-com	33723
wms-capabilities	33535
jquery-mapael	33117
docco	32792
jsgrid	32714
angular-translate-loader-static-files	32696
angular-material-icons	32551
filterizr	32533
icheck-bootstrap	32481
webfont	32210
purl	32193
svg-loader	31736
node-waves	31393
turf	31342
details-element-polyfill	31079
bootstrap-toggle	30630
clean	30257
swup	30249
open-iconic	30125
sizzle	30055
jquery-pjax	30003
word-count	29643
jquery-contextmenu	29565
easy-autocomplete	29111
cropper	28723
obsidian	28713
module	28514
postscribe	28428
jqueryui	28343
hint	28174
jquery-bar-rating	27947
start	27412
applescript	27261
bootstrap-timepicker	27255
pace	27249
jquery-colorbox	27070
bootstrap-tagsinput	26993
jquery.flot.tooltip	26870
ngstorage	26529
react-fusioncharts	26371
animated	26319
sql	26219
asciinema-player	26092
jquery-modal	26068
reqwest	25631
ical	25594
system	25422
zeroclipboard	25190
navigo	24996
gmaps	24812
chat	24708
leaflet-fullscreen	24576
rellax	24271
actions	24150
exif	24062
jquery-knob	23880
calendar	23738
framework7	23636
markerclustererplus	23397
html5shiv	23296
jsrender	23234
java	23170
emojione	22870
hoverintent	22846
svgxuse	22764
ionic-angular	22658
colorful	22390
safe-area-insets	22300
far	22105
angular-file-upload	21972
updates	21970
framework7-icons	21764
mithril	21746
hyperapp	21628
jarallax	21283
erb	21273
jquery-match-height	21266
purecss	21221
input	21081
jquery-autosize	21068
iscroll	21030
jquery-countdown	20931
lesshat	20746
videojs-contrib-hls	20419
bootstrap-maxlength	20270
mint	20261
components	20141
money	20077
esri-leaflet-geocoder	20052
mapbox	19855
sat	19626
highcharts-more	19497
angular-scroll	19490
jquery.maskedinput	19434
mousetrap-global-bind	19385
dns	18830
lottie-api	18650
cf-errors	18554
sequence	18432
jvectormap	18403
qiniu	18376
justified-layout	18219
restangular	18209
angular-carousel	18195
classie	17873
graphlib-dot	17786
azure	17694
dojo	17675
textangular	17629
jasny-bootstrap	17593
ag-grid	17344
angular-translate-storage-cookie	17344
webvr-polyfill	17301
mediaelement	17159
twitter	17152
poly-decomp	17093
canvas-to-blob	17020
siema	16977
scrollreveal	16923
autotrack	16881
fix	16874
openapi	16804
locomotive-scroll	16626
help	16587
slimscroll	16565
jquery-ui-timepicker-addon	16564
angular-spinner	16464
vue-smooth-dnd	16441
source-code-pro	16392
jquery-placeholder	16320
placeholder-loading	16004
googlemaps	15851
esri-leaflet-vector	15811
multiple-select	15641
typography	15573
hooks	15540
svg-injector	15525
highcharts-ng	15391
require	15253
jquery-lazyload	15096
videojs-flash	14989
yui	14935
pannellum	14692
mui	14631
js-image-zoom	14563
wangeditor	14404
webtorrent	14232
lg-thumbnail	14127
vivus	14036
slideout	13932
hopscotch	13907
gcoord	13858
lg-zoom	13826
plugin	13813
sticky-sidebar	13762
jquery-ui-sortable	13714
lg-video	13651
angular-strap	13641
ionic	13597
bright	13515
